Date, NCEP/NCAR R1 Precipitable Water (kg/m^2) 30N-40N;-95E--105E
1990-03-01,    1.181
1990-04-01,    0.324
1990-05-01,   -0.619
1990-06-01,   -0.136
1990-07-01,   -0.936
1990-08-01,   -0.683
1990-09-01,    0.507
1990-10-01,   -0.885
1990-11-01,    0.329
1990-12-01,    0.654
1991-01-01,    0.261
1991-02-01,   -0.291
1991-03-01,   -0.890
1991-04-01,    0.944
1991-05-01,    2.687
1991-06-01,    0.080
1991-07-01,   -1.172
1991-08-01,   -0.425
1991-09-01,    0.846
1991-10-01,    0.100
1991-11-01,   -0.674
1991-12-01,    2.279
1992-01-01,    0.136
1992-02-01,    0.249
1992-03-01,   -0.361
1992-04-01,    0.234
1992-05-01,   -0.647
1992-06-01,   -0.590
1992-07-01,   -1.002
1992-08-01,   -2.546
1992-09-01,   -0.647
1992-10-01,   -0.540
1992-11-01,   -0.055
1992-12-01,    2.553
1993-01-01,    0.763
1993-02-01,   -0.275
1993-03-01,   -1.205
1993-04-01,   -1.305
1993-05-01,   -0.269
1993-06-01,    0.749
1993-07-01,   -0.156
1993-08-01,    0.964
1993-09-01,   -0.525
1993-10-01,   -0.161
1993-11-01,   -0.699
1993-12-01,    0.396
1994-01-01,    0.126
1994-02-01,   -0.107
1994-03-01,   -0.400
1994-04-01,    0.964
1994-05-01,   -0.121
1994-06-01,    1.174
1994-07-01,   -1.408
1994-08-01,   -0.711
1994-09-01,   -0.941
1994-10-01,    0.742
1994-11-01,    1.393
1994-12-01,    0.810
1995-01-01,   -0.094
1995-02-01,   -0.048
1995-03-01,    0.669
1995-04-01,   -0.473
1995-05-01,    0.155
1995-06-01,   -1.811
1995-07-01,   -0.391
1995-08-01,    1.122
1995-09-01,    0.725
1995-10-01,   -0.950
1995-11-01,   -0.421
1995-12-01,   -0.025
1996-01-01,   -0.526
1996-02-01,   -0.307
1996-03-01,   -2.057
1996-04-01,   -1.868
1996-05-01,    0.798
1996-06-01,    0.504
1996-07-01,    0.664
1996-08-01,    0.138
1996-09-01,   -0.611
1996-10-01,    0.263
1996-11-01,    1.022
1996-12-01,   -0.627
1997-01-01,    0.106
1997-02-01,    0.532
1997-03-01,    1.128
1997-04-01,   -0.560
1997-05-01,   -1.089
1997-06-01,   -0.311
1997-07-01,    0.023
1997-08-01,   -0.227
1997-09-01,    0.433
1997-10-01,    0.486
1997-11-01,   -0.909
1997-12-01,   -1.078
1998-01-01,    0.677
1998-02-01,    0.029
1998-03-01,   -0.404
1998-04-01,   -1.636
1998-05-01,   -0.493
1998-06-01,   -0.500
1998-07-01,    0.571
1998-08-01,   -0.363
1998-09-01,    1.408
1998-10-01,    0.272
1998-11-01,    1.236
1998-12-01,    0.509
1999-01-01,    0.329
1999-02-01,   -0.049
1999-03-01,   -0.640
1999-04-01,    0.858
1999-05-01,   -1.533
1999-06-01,    0.568
1999-07-01,   -0.698
1999-08-01,   -1.770
1999-09-01,   -1.621
1999-10-01,   -1.455
1999-11-01,   -1.832
1999-12-01,   -1.261
2000-01-01,   -0.201
2000-02-01,    0.197
2000-03-01,    0.609
2000-04-01,   -0.871
2000-05-01,    0.335
2000-06-01,    0.458
2000-07-01,   -1.374
2000-08-01,   -1.255
2000-09-01,   -1.569
2000-10-01,    0.552
2000-11-01,   -0.547
2000-12-01,   -1.710
2001-01-01,   -0.455
2001-02-01,    1.261
2001-03-01,   -1.166
2001-04-01,    1.189
2001-05-01,    0.202
2001-06-01,   -1.701
2001-07-01,    2.108
2001-08-01,    0.338
2001-09-01,   -0.784
2001-10-01,   -1.057
2001-11-01,    2.125
2001-12-01,    0.575
2002-01-01,    0.087
2002-02-01,   -1.298
2002-03-01,   -0.236
2002-04-01,    2.530
2002-05-01,    0.160
2002-06-01,    0.219
2002-07-01,    0.700
2002-08-01,    0.165
2002-09-01,    0.303
2002-10-01,    1.020
2002-11-01,   -1.469
2002-12-01,   -0.352
2003-01-01,   -0.495
2003-02-01,    0.283
2003-03-01,   -0.697
2003-04-01,   -0.387
2003-05-01,    0.596
2003-06-01,   -0.241
2003-07-01,   -0.830
2003-08-01,    0.949
2003-09-01,   -1.128
2003-10-01,   -0.022
2003-11-01,    1.987
2003-12-01,   -0.944
2004-01-01,    0.769
2004-02-01,   -0.580
2004-03-01,    1.322
2004-04-01,   -0.044
2004-05-01,    0.499
2004-06-01,    1.341
2004-07-01,   -0.771
2004-08-01,   -1.565
2004-09-01,   -1.024
2004-10-01,    1.724
2004-11-01,    2.311
2004-12-01,   -1.373
2005-01-01,    1.270
2005-02-01,    0.920
2005-03-01,   -1.494
2005-04-01,   -0.805
2005-05-01,   -0.910
2005-06-01,   -1.266
2005-07-01,   -0.478
2005-08-01,    1.259
2005-09-01,    0.470
2005-10-01,   -0.090
2005-11-01,   -0.319
2005-12-01,   -1.596
2006-01-01,   -0.124
2006-02-01,   -0.572
2006-03-01,    0.636
2006-04-01,    1.024
2006-05-01,   -0.491
2006-06-01,   -1.932
2006-07-01,    0.463
2006-08-01,    1.926
2006-09-01,   -1.088
2006-10-01,    0.108
2006-11-01,   -0.296
2006-12-01,    0.091
2007-01-01,    0.351
2007-02-01,   -0.658
2007-03-01,    2.412
2007-04-01,   -0.770
2007-05-01,    1.926
2007-06-01,    1.570
2007-07-01,    0.737
2007-08-01,    1.083
2007-09-01,    0.652
